"Year","District","FIPS","Variable","Value","Measure Type"
"2015-2016","Ledyard School District","901142600","Counts of Bullying Incidents","8","Number"
"2012-2013","Lisbon School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Lisbon School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Lisbon School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Lisbon School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Lisbon School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Lisbon School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Lisbon School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Lisbon School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Litchfield School District","900543370","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Litchfield School District","900543370","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Litchfield School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Litchfield School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Litchfield School District","900543370","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Litchfield School District","900543370","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Litchfield School District","900543370","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Litchfield School District","900543370","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Madison School District","900944560","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Madison School District","900944560","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Madison School District","900944560","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Madison School District","900944560","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Madison School District","900944560","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Madison School District","900944560","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Madison School District","900944560","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Madison School District","900944560","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Manchester School District","900344700","Number of students with at least 1 bullying incident","6","Number"
"2012-2013","Manchester School District","900344700","Counts of Bullying Incidents","6","Number"
"2013-2014","Manchester School District","900344700","Number of students with at least 1 bullying incident","23","Number"
"2013-2014","Manchester School District","900344700","Counts of Bullying Incidents","26","Number"
"2014-2015","Manchester School District","900344700","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Manchester School District","900344700","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Manchester School District","900344700","Number of students with at least 1 bullying incident","11","Number"
"2015-2016","Manchester School District","900344700","Counts of Bullying Incidents","12","Number"
"2012-2013","Mansfield School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Mansfield School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Mansfield School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Mansfield School District","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Mansfield School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Mansfield School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Mansfield School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Mansfield School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Marlborough School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Marlborough School District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Marlborough School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Marlborough School District","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Marlborough School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Marlborough School District","","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Marlborough School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Marlborough School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Meriden School District","900946520","Number of students with at least 1 bullying incident","16","Number"
"2012-2013","Meriden School District","900946520","Counts of Bullying Incidents","18","Number"
"2013-2014","Meriden School District","900946520","Number of students with at least 1 bullying incident","16","Number"
"2013-2014","Meriden School District","900946520","Counts of Bullying Incidents","17","Number"
"2014-2015","Meriden School District","900946520","Number of students with at least 1 bullying incident","14","Number"
"2014-2015","Meriden School District","900946520","Counts of Bullying Incidents","15","Number"
"2015-2016","Meriden School District","900946520","Number of students with at least 1 bullying incident","11","Number"
"2015-2016","Meriden School District","900946520","Counts of Bullying Incidents","14","Number"
"2012-2013","Middletown School District","900747360","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Middletown School District","900747360","Counts of Bullying Incidents","8","Number"
"2013-2014","Middletown School District","900747360","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Middletown School District","900747360","Counts of Bullying Incidents","7","Number"
"2014-2015","Middletown School District","900747360","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Middletown School District","900747360","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Middletown School District","900747360","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Middletown School District","900747360","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Milford School District","900947535","Number of students with at least 1 bullying incident","21","Number"
"2012-2013","Milford School District","900947535","Counts of Bullying Incidents","22","Number"
"2013-2014","Milford School District","900947535","Number of students with at least 1 bullying incident","19","Number"
"2013-2014","Milford School District","900947535","Counts of Bullying Incidents","20","Number"
"2014-2015","Milford School District","900947535","Number of students with at least 1 bullying incident","10","Number"
"2014-2015","Milford School District","900947535","Counts of Bullying Incidents","10","Number"
"2015-2016","Milford School District","900947535","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Milford School District","900947535","Counts of Bullying Incidents","6","Number"
"2012-2013","Monroe School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Monroe School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Monroe School District","900148620","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Monroe School District","900148620","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Monroe School District","900148620","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Monroe School District","900148620","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Monroe School District","900148620","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Monroe School District","900148620","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Montville School District","901148900","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Montville School District","901148900","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Montville School District","901148900","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Montville School District","901148900","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Montville School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Montville School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Montville School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Montville School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Naugatuck School District","900949950","Number of students with at least 1 bullying incident","8","Number"
"2012-2013","Naugatuck School District","900949950","Counts of Bullying Incidents","10","Number"
"2013-2014","Naugatuck School District","900949950","Number of students with at least 1 bullying incident","12","Number"
"2013-2014","Naugatuck School District","900949950","Counts of Bullying Incidents","14","Number"
"2014-2015","Naugatuck School District","900949950","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Naugatuck School District","900949950","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Naugatuck School District","900949950","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Naugatuck School District","900949950","Counts of Bullying Incidents","-9999","Number"
"2012-2013","New Beginnings Inc. Family Academy District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","New Beginnings Inc. Family Academy District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","New Beginnings Inc. Family Academy District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","New Beginnings Inc. Family Academy District","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","New Beginnings Inc. Family Academy District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","New Beginnings Inc. Family Academy District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","New Beginnings Inc. Family Academy District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","New Beginnings Inc. Family Academy District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","New Britain School District","900350440","Number of students with at least 1 bullying incident","47","Number"
"2012-2013","New Britain School District","900350440","Counts of Bullying Incidents","55","Number"
"2013-2014","New Britain School District","900350440","Number of students with at least 1 bullying incident","59","Number"
"2013-2014","New Britain School District","900350440","Counts of Bullying Incidents","83","Number"
"2014-2015","New Britain School District","900350440","Number of students with at least 1 bullying incident","18","Number"
"2014-2015","New Britain School District","900350440","Counts of Bullying Incidents","21","Number"
"2015-2016","New Britain School District","900350440","Number of students with at least 1 bullying incident","10","Number"
"2015-2016","New Britain School District","900350440","Counts of Bullying Incidents","10","Number"
"2012-2013","New Canaan School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","New Canaan School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","New Canaan School District","900150580","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","New Canaan School District","900150580","Counts of Bullying Incidents","-9999","Number"
"2014-2015","New Canaan School District","900150580","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","New Canaan School District","900150580","Counts of Bullying Incidents","-9999","Number"
"2015-2016","New Canaan School District","900150580","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","New Canaan School District","900150580","Counts of Bullying Incidents","-9999","Number"
"2012-2013","New Fairfield School District","900150860","Number of students with at least 1 bullying incident","12","Number"
"2012-2013","New Fairfield School District","900150860","Counts of Bullying Incidents","12","Number"
"2013-2014","New Fairfield School District","900150860","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","New Fairfield School District","900150860","Counts of Bullying Incidents","-9999","Number"
"2014-2015","New Fairfield School District","900150860","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","New Fairfield School District","900150860","Counts of Bullying Incidents","-9999","Number"
"2015-2016","New Fairfield School District","900150860","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","New Fairfield School District","900150860","Counts of Bullying Incidents","-9999","Number"
"2012-2013","New Hartford School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","New Hartford School District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","New Hartford School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","New Hartford School District","","Counts of Bullying Incidents","6","Number"
"2014-2015","New Hartford School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","New Hartford School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","New Hartford School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","New Hartford School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","New Haven School District","900952070","Number of students with at least 1 bullying incident","56","Number"
"2012-2013","New Haven School District","900952070","Counts of Bullying Incidents","64","Number"
"2013-2014","New Haven School District","900952070","Number of students with at least 1 bullying incident","52","Number"
"2013-2014","New Haven School District","900952070","Counts of Bullying Incidents","61","Number"
"2014-2015","New Haven School District","900952070","Number of students with at least 1 bullying incident","39","Number"
"2014-2015","New Haven School District","900952070","Counts of Bullying Incidents","47","Number"
"2015-2016","New Haven School District","900952070","Number of students with at least 1 bullying incident","31","Number"
"2015-2016","New Haven School District","900952070","Counts of Bullying Incidents","37","Number"
"2012-2013","Newington School District","900352140","Number of students with at least 1 bullying incident","13","Number"
"2012-2013","Newington School District","900352140","Counts of Bullying Incidents","18","Number"
"2013-2014","Newington School District","900352140","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Newington School District","900352140","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Newington School District","900352140","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Newington School District","900352140","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Newington School District","900352140","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Newington School District","900352140","Counts of Bullying Incidents","-9999","Number"
"2012-2013","New London School District","901152350","Number of students with at least 1 bullying incident","39","Number"
"2012-2013","New London School District","901152350","Counts of Bullying Incidents","49","Number"
"2013-2014","New London School District","901152350","Number of students with at least 1 bullying incident","32","Number"
"2013-2014","New London School District","901152350","Counts of Bullying Incidents","33","Number"
"2014-2015","New London School District","901152350","Number of students with at least 1 bullying incident","9","Number"
"2014-2015","New London School District","901152350","Counts of Bullying Incidents","9","Number"
"2015-2016","New London School District","901152350","Number of students with at least 1 bullying incident","13","Number"
"2015-2016","New London School District","901152350","Counts of Bullying Incidents","14","Number"
"2012-2013","New Milford School District","900552630","Number of students with at least 1 bullying incident","8","Number"
"2012-2013","New Milford School District","900552630","Counts of Bullying Incidents","9","Number"
"2013-2014","New Milford School District","900552630","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","New Milford School District","900552630","Counts of Bullying Incidents","-9999","Number"
"2014-2015","New Milford School District","900552630","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","New Milford School District","900552630","Counts of Bullying Incidents","-9999","Number"
"2015-2016","New Milford School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","New Milford School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Newtown School District","900152980","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Newtown School District","900152980","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Newtown School District","900152980","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Newtown School District","900152980","Counts of Bullying Incidents","9","Number"
"2014-2015","Newtown School District","900152980","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Newtown School District","900152980","Counts of Bullying Incidents","6","Number"
"2015-2016","Newtown School District","900152980","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Newtown School District","900152980","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Norfolk School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Norfolk School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Norfolk School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Norfolk School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Norfolk School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Norfolk School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Norfolk School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Norfolk School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","North Branford School District","900953890","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","North Branford School District","900953890","Counts of Bullying Incidents","-9999","Number"
"2013-2014","North Branford School District","900953890","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","North Branford School District","900953890","Counts of Bullying Incidents","-9999","Number"
"2014-2015","North Branford School District","900953890","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","North Branford School District","900953890","Counts of Bullying Incidents","-9999","Number"
"2015-2016","North Branford School District","900953890","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","North Branford School District","900953890","Counts of Bullying Incidents","6","Number"
"2012-2013","North Canaan School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","North Canaan School District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","North Canaan School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","North Canaan School District","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","North Canaan School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","North Canaan School District","","Counts of Bullying Incidents","-9999","Number"
"2015-2016","North Canaan School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","North Canaan School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","North Haven School District","900954870","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","North Haven School District","900954870","Counts of Bullying Incidents","-9999","Number"
"2013-2014","North Haven School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","North Haven School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","North Haven School District","900954870","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","North Haven School District","900954870","Counts of Bullying Incidents","-9999","Number"
"2015-2016","North Haven School District","900954870","Number of students with at least 1 bullying incident","6","Number"
"2015-2016","North Haven School District","900954870","Counts of Bullying Incidents","8","Number"
"2012-2013","North Stonington School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","North Stonington School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","North Stonington School District","901155500","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","North Stonington School District","901155500","Counts of Bullying Incidents","-9999","Number"
"2014-2015","North Stonington School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","North Stonington School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","North Stonington School District","901155500","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","North Stonington School District","901155500","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Norwalk School District","900156060","Number of students with at least 1 bullying incident","19","Number"
"2012-2013","Norwalk School District","900156060","Counts of Bullying Incidents","19","Number"
"2013-2014","Norwalk School District","900156060","Number of students with at least 1 bullying incident","25","Number"
"2013-2014","Norwalk School District","900156060","Counts of Bullying Incidents","27","Number"
"2014-2015","Norwalk School District","900156060","Number of students with at least 1 bullying incident","9","Number"
"2014-2015","Norwalk School District","900156060","Counts of Bullying Incidents","9","Number"
"2015-2016","Norwalk School District","900156060","Number of students with at least 1 bullying incident","8","Number"
"2015-2016","Norwalk School District","900156060","Counts of Bullying Incidents","10","Number"
"2012-2013","Norwich Free Academy District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Norwich Free Academy District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Norwich Free Academy District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Norwich Free Academy District","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Norwich Free Academy District","","Number of students with at least 1 bullying incident","6","Number"
"2014-2015","Norwich Free Academy District","","Counts of Bullying Incidents","6","Number"
"2015-2016","Norwich Free Academy District","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Norwich Free Academy District","","Counts of Bullying Incidents","6","Number"
"2012-2013","Norwich School District","901156270","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Norwich School District","901156270","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Norwich School District","901156270","Number of students with at least 1 bullying incident","6","Number"
"2013-2014","Norwich School District","901156270","Counts of Bullying Incidents","8","Number"
"2014-2015","Norwich School District","901156270","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Norwich School District","901156270","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Norwich School District","901156270","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Norwich School District","901156270","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Odyssey Community School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Odyssey Community School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Odyssey Community School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Odyssey Community School District","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Odyssey Community School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Odyssey Community School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Odyssey Community School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Odyssey Community School District","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Old Saybrook School District","900757320","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Old Saybrook School District","900757320","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Old Saybrook School District","900757320","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Old Saybrook School District","900757320","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Old Saybrook School District","900757320","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Old Saybrook School District","900757320","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Old Saybrook School District","900757320","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Old Saybrook School District","900757320","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Orange School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Orange School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Orange School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Orange School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Orange School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Orange School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Orange School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Orange School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Oxford School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Oxford School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Oxford School District","900958300","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Oxford School District","900958300","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Oxford School District","900958300","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Oxford School District","900958300","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Oxford School District","900958300","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Oxford School District","900958300","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Park City Prep Charter School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Park City Prep Charter School District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Park City Prep Charter School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Park City Prep Charter School District","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Park City Prep Charter School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Park City Prep Charter School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Park City Prep Charter School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Park City Prep Charter School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Path Academy District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Path Academy District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Path Academy District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Path Academy District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Path Academy District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Path Academy District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Path Academy District","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Path Academy District","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Plainfield School District","901559980","Number of students with at least 1 bullying incident","9","Number"
"2012-2013","Plainfield School District","901559980","Counts of Bullying Incidents","11","Number"
"2013-2014","Plainfield School District","901559980","Number of students with at least 1 bullying incident","16","Number"
"2013-2014","Plainfield School District","901559980","Counts of Bullying Incidents","17","Number"
"2014-2015","Plainfield School District","901559980","Number of students with at least 1 bullying incident","9","Number"
"2014-2015","Plainfield School District","901559980","Counts of Bullying Incidents","12","Number"
"2015-2016","Plainfield School District","901559980","Number of students with at least 1 bullying incident","16","Number"
"2015-2016","Plainfield School District","901559980","Counts of Bullying Incidents","17","Number"
"2012-2013","Plainville School District","900360120","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Plainville School District","900360120","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Plainville School District","900360120","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Plainville School District","900360120","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Plainville School District","900360120","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Plainville School District","900360120","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Plainville School District","900360120","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Plainville School District","900360120","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Plymouth School District","900560750","Number of students with at least 1 bullying incident","7","Number"
"2012-2013","Plymouth School District","900560750","Counts of Bullying Incidents","11","Number"
"2013-2014","Plymouth School District","900560750","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Plymouth School District","900560750","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Plymouth School District","900560750","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Plymouth School District","900560750","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Plymouth School District","900560750","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Plymouth School District","900560750","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Pomfret School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Pomfret School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Pomfret School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Pomfret School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Pomfret School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Pomfret School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Pomfret School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Pomfret School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Portland School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Portland School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Portland School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Portland School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Portland School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Portland School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Portland School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Portland School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Preston School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Preston School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Preston School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Preston School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Preston School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Preston School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Preston School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Preston School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Putnam School District","901562710","Number of students with at least 1 bullying incident","6","Number"
"2012-2013","Putnam School District","901562710","Counts of Bullying Incidents","6","Number"
"2013-2014","Putnam School District","901562710","Number of students with at least 1 bullying incident","8","Number"
"2013-2014","Putnam School District","901562710","Counts of Bullying Incidents","10","Number"
"2014-2015","Putnam School District","901562710","Number of students with at least 1 bullying incident","6","Number"
"2014-2015","Putnam School District","901562710","Counts of Bullying Incidents","6","Number"
"2015-2016","Putnam School District","901562710","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Putnam School District","901562710","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Redding School District","","Number of students with at least 1 bullying incident","7","Number"
"2012-2013","Redding School District","","Counts of Bullying Incidents","8","Number"
"2013-2014","Redding School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Redding School District","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Redding School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Redding School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Redding School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Redding School District","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Regional School District 01","","Number of students with at least 1 bullying incident","-9999","Number"
